epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.503,3.09445,12.8677,3.37842,0.6594,0.82628,0.81574,0.48937,2.7316,7.87073,3.31577,0.000541775,0.000541775,0.000541775
2,45.0588,2.7138,2.98348,2.79605,0.7658,0.6506,0.76421,0.45999,2.76333,4.75361,3.67367,0.0010902,0.0010902,0.0010902
3,68.4245,2.64639,2.58688,2.70173,0.35802,0.2908,0.05903,0.02787,4.15041,49.9668,5.97002,0.00163129,0.00163129,0.00163129
4,91.625,2.66669,2.33214,2.70667,0.35408,0.63936,0.3744,0.21691,2.89662,10.6832,3.17798,0.00163399,0.00163399,0.00163399
5,114.733,2.62502,2.0114,2.66401,0.63175,0.41484,0.48706,0.30021,2.79288,8.58634,2.83863,0.00162299,0.00162299,0.00162299
6,137.916,2.44391,2.07348,2.5901,0.35433,0.75618,0.36407,0.24092,2.15001,56.3848,2.38446,0.00161199,0.00161199,0.00161199
7,161.172,2.34008,1.82028,2.48709,0.87434,0.65103,0.83369,0.58635,2.21417,2.96818,2.39579,0.00160099,0.00160099,0.00160099
8,184.894,2.34811,1.78765,2.47604,0.66866,0.85904,0.84585,0.58983,2.15829,3.2243,2.46766,0.00158998,0.00158998,0.00158998
9,207.636,2.28394,1.70658,2.45257,0.71345,0.72816,0.75295,0.54609,2.18286,2.9258,2.33615,0.00157898,0.00157898,0.00157898
10,230.487,2.15712,1.54001,2.37992,0.8365,0.86125,0.9143,0.67835,2.02414,1.32907,2.31061,0.00156798,0.00156798,0.00156798
11,253.732,2.10264,1.4026,2.34848,0.88007,0.85398,0.92576,0.70752,1.85115,1.12555,2.1931,0.00155698,0.00155698,0.00155698
12,276.896,2.08676,1.46368,2.36648,0.86668,0.86055,0.93601,0.71306,1.85381,1.21923,2.1525,0.00154598,0.00154598,0.00154598
13,299.96,2.10568,1.44716,2.3429,0.8963,0.90655,0.95205,0.71739,1.91848,1.26354,2.17424,0.00153497,0.00153497,0.00153497
14,324.314,2.01482,1.36911,2.29306,0.77434,0.69804,0.82669,0.60871,1.86757,2.109,2.14771,0.00152397,0.00152397,0.00152397
15,348.34,2.05061,1.36323,2.30224,0.90986,0.94787,0.94898,0.70949,1.87087,0.96318,2.11162,0.00151297,0.00151297,0.00151297
16,370.963,2.0085,1.3253,2.28069,0.93293,0.906,0.9456,0.73777,1.87379,1.48823,2.12979,0.00150197,0.00150197,0.00150197
17,394.309,1.93563,1.29565,2.29132,0.92044,0.94556,0.97625,0.76826,1.78348,0.85587,2.15154,0.00149096,0.00149096,0.00149096
18,417.44,1.8807,1.24075,2.24206,0.92385,0.90033,0.94975,0.72117,1.89439,1.0438,2.18644,0.00147996,0.00147996,0.00147996
19,439.764,1.97359,1.34463,2.26381,0.94413,0.95357,0.98424,0.76255,1.6481,0.82391,2.04185,0.00146896,0.00146896,0.00146896
20,462.532,1.87284,1.22377,2.22226,0.87083,0.83882,0.93091,0.7222,1.72719,1.41579,2.01874,0.00145796,0.00145796,0.00145796
21,485.462,1.90107,1.20143,2.21942,0.93221,0.93486,0.97483,0.72615,1.94557,0.91723,2.13446,0.00144696,0.00144696,0.00144696
22,508.781,1.90358,1.22638,2.23138,0.93662,0.93955,0.97895,0.72498,1.92332,0.86456,2.16452,0.00143595,0.00143595,0.00143595
23,531.533,1.85259,1.18397,2.21012,0.92757,0.93485,0.96796,0.74419,1.76848,0.86985,2.11972,0.00142495,0.00142495,0.00142495
24,554.766,1.8044,1.12513,2.17127,0.95106,0.91152,0.97483,0.77647,1.64451,0.84059,2.03059,0.00141395,0.00141395,0.00141395
25,578.056,1.81314,1.12919,2.19704,0.88456,0.96868,0.97851,0.79989,1.57485,0.78648,1.99845,0.00140295,0.00140295,0.00140295
26,604.056,1.81874,1.18036,2.18575,0.9409,0.93651,0.98184,0.78633,1.63751,0.76403,2.03259,0.00139195,0.00139195,0.00139195
27,627.141,1.81573,1.18234,2.19789,0.92163,0.91043,0.96623,0.76725,1.60207,0.89026,2.00683,0.00138094,0.00138094,0.00138094
28,650.13,1.81436,1.12585,2.20038,0.96291,0.90557,0.97596,0.76384,1.65158,0.82356,2.02508,0.00136994,0.00136994,0.00136994
29,673.519,1.79119,1.10687,2.18505,0.9681,0.92994,0.98363,0.79064,1.64008,0.72316,2.00294,0.00135894,0.00135894,0.00135894
30,699.027,1.68947,1.02703,2.13854,0.96755,0.96017,0.98929,0.8014,1.61178,0.70907,2.05209,0.00134794,0.00134794,0.00134794
31,722.128,1.7108,1.0007,2.15362,0.95567,0.94213,0.98525,0.78288,1.68822,0.72099,2.02273,0.00133693,0.00133693,0.00133693
32,745.051,1.62802,1.02788,2.10614,0.94166,0.97653,0.99003,0.7999,1.53011,0.6645,1.98287,0.00132593,0.00132593,0.00132593
33,767.941,1.64186,1.01945,2.12289,0.96415,0.96117,0.98134,0.81639,1.47004,0.68633,1.94514,0.00131493,0.00131493,0.00131493
34,790.971,1.58743,0.95067,2.09596,0.97381,0.91043,0.98109,0.78913,1.56554,0.72632,1.98278,0.00130393,0.00130393,0.00130393
35,813.985,1.63245,1.05307,2.10518,0.8636,0.94442,0.97405,0.78063,1.54858,0.84358,1.96655,0.00129293,0.00129293,0.00129293
36,838.261,1.6813,1.07628,2.13361,0.97707,0.92099,0.98618,0.80778,1.52145,0.71095,1.96391,0.00128192,0.00128192,0.00128192
37,860.017,1.59642,0.99476,2.08546,0.97456,0.93545,0.98942,0.82622,1.42115,0.66391,1.89509,0.00127092,0.00127092,0.00127092
38,882.203,1.59963,0.9994,2.09374,0.94566,0.95975,0.98589,0.80167,1.52089,0.68976,1.96295,0.00125992,0.00125992,0.00125992
39,905.022,1.60598,0.98167,2.10865,0.89726,0.96868,0.97633,0.80804,1.43996,0.7115,1.92345,0.00124892,0.00124892,0.00124892
